epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0645,2.28223,3.73071,2.55358,0.00324,0.93636,0.17805,0.04239,1.82682,4.62063,2.65532,8.574e-05,8.574e-05,8.574e-05
2,63.6747,2.02345,3.52919,2.29728,0.00346,0.93333,0.38004,0.16838,1.54262,4.3229,2.1347,0.000183931,0.000183931,0.000183931
3,87.0423,1.5458,3.02302,1.89306,0.00383,1,0.47185,0.26345,1.132,3.80688,1.64558,0.000280141,0.000280141,0.000280141
4,109.023,1.31507,2.4934,1.61374,0.0035,1,0.56099,0.30901,1.10022,3.55421,1.62607,0.000374371,0.000374371,0.000374371
5,130.727,1.38123,2.27763,1.62069,0.00337,1,0.59883,0.32464,1.24867,3.48771,1.7094,0.00046662,0.00046662,0.00046662
6,153.108,1.39617,2.3086,1.63727,0.56171,0.28328,0.55796,0.27142,1.32495,3.38067,1.80659,0.000556888,0.000556888,0.000556888
7,179.269,1.34198,2.06809,1.58834,0.59655,0.69876,0.69231,0.35661,1.21168,3.03624,1.65501,0.000645176,0.000645176,0.000645176
8,202.198,1.32737,1.98326,1.5595,0.53263,0.73939,0.65339,0.3951,1.31739,3.00686,1.79912,0.000731484,0.000731484,0.000731484
9,224.702,1.30601,1.87977,1.57336,0.47366,0.74848,0.58323,0.21861,1.61405,3.29905,2.29317,0.00081581,0.00081581,0.00081581
10,246.082,1.32368,1.92101,1.59414,0.59048,0.86554,0.74443,0.45894,1.32122,2.67157,1.83786,0.000898157,0.000898157,0.000898157
11,269.56,1.43224,1.87445,1.70261,0.69993,0.79562,0.78418,0.44564,1.39859,2.54027,2.04468,0.000978522,0.000978522,0.000978522
12,292.289,1.38902,1.95007,1.64745,0.36168,0.56667,0.53047,0.25684,1.44613,3.50467,1.97015,0.00105691,0.00105691,0.00105691
13,315.573,1.39678,1.87981,1.62312,0.62161,0.90606,0.80891,0.51258,1.23665,2.8721,1.72592,0.00113331,0.00113331,0.00113331
14,338.255,1.40311,1.78287,1.64456,0.45465,0.50987,0.50451,0.15639,1.95086,4.56033,2.60279,0.00120774,0.00120774,0.00120774
15,359.708,1.4104,1.74419,1.58224,0.32634,0.36188,0.44334,0.21169,1.57444,5.90624,2.12457,0.00123094,0.00123094,0.00123094
16,382.285,1.34605,1.6501,1.58115,0.80031,0.68632,0.84203,0.43855,1.55718,6.96821,2.10564,0.00121679,0.00121679,0.00121679
17,403.835,1.35048,1.68773,1.56341,0.91234,0.66552,0.85451,0.40602,1.66672,4.06871,2.34987,0.00120265,0.00120265,0.00120265
18,425.266,1.35864,1.64362,1.66165,0.55574,0.74713,0.69395,0.32582,1.72452,3.59827,2.33457,0.0011885,0.0011885,0.0011885
19,448.584,1.3615,1.60462,1.61905,0.79672,0.66029,0.79462,0.39434,1.55807,2.93167,2.01527,0.00117435,0.00117435,0.00117435
20,470.335,1.30492,1.61203,1.57376,0.78768,0.80889,0.77053,0.45357,1.40487,3.83383,1.79585,0.00116021,0.00116021,0.00116021
21,492.438,1.27515,1.47776,1.51661,0.71591,0.84848,0.84134,0.45059,1.55683,2.40255,1.87355,0.00114606,0.00114606,0.00114606
22,514.607,1.3612,1.62247,1.62186,0.8256,0.87879,0.87089,0.44479,1.60183,2.35625,2.00054,0.00113191,0.00113191,0.00113191
23,536.261,1.28315,1.46369,1.56536,0.80257,0.85887,0.95272,0.59382,1.26459,2.17036,1.64489,0.00111776,0.00111776,0.00111776
24,558.688,1.29439,1.54297,1.60345,0.5642,0.83974,0.88541,0.50807,1.42049,6.30133,1.89396,0.00110362,0.00110362,0.00110362
25,580.364,1.31951,1.51477,1.59264,0.66248,0.8727,0.89663,0.41919,1.66631,2.87285,2.2195,0.00108947,0.00108947,0.00108947
