epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.671,2.16054,3.57866,2.45215,0.00332,0.90303,0.1443,0.03512,1.91113,4.81225,2.77477,7.145e-05,7.145e-05,7.145e-05
2,48.4436,1.83468,3.43978,2.14003,0.00514,0.93333,0.22669,0.08635,1.60432,4.23642,2.16198,0.000155634,0.000155634,0.000155634
3,66.8702,1.42041,2.91979,1.73227,0.00474,1,0.38449,0.22426,1.15142,3.92694,1.61193,0.00023812,0.00023812,0.00023812
4,87.3355,1.37883,2.42321,1.62238,0.00386,1,0.51483,0.28226,1.06386,3.79408,1.48419,0.000318909,0.000318909,0.000318909
5,105.6,1.33318,2.32726,1.60512,0.00412,1,0.51757,0.31519,1.15013,3.7915,1.53675,0.000397999,0.000397999,0.000397999
6,123.418,1.26133,2.19499,1.51422,0.13101,1,0.66442,0.40814,1.15641,3.47152,1.58638,0.000475393,0.000475393,0.000475393
7,142.208,1.32923,2.05913,1.61729,0.00356,1,0.65141,0.33045,1.4788,3.54831,1.84129,0.000551088,0.000551088,0.000551088
8,160.189,1.29239,1.95558,1.54285,0.85547,0.21366,0.62277,0.28059,1.62865,3.57935,2.22026,0.000625086,0.000625086,0.000625086
9,177.858,1.2277,1.83289,1.46752,0.76678,0.57625,0.67783,0.43358,1.22088,2.83952,1.67138,0.000697386,0.000697386,0.000697386
10,195.233,1.2826,1.75916,1.50974,0.60248,0.63112,0.73074,0.4619,1.25947,2.76905,1.69978,0.000767989,0.000767989,0.000767989
11,214.101,1.27802,1.75283,1.48971,0.51905,0.71108,0.59307,0.30701,1.73763,3.12327,2.33766,0.000836894,0.000836894,0.000836894
12,235.303,1.30491,1.74078,1.4905,0.67316,0.61959,0.68497,0.38288,1.5168,2.88876,2.28704,0.000904101,0.000904101,0.000904101
13,253.402,1.2498,1.65997,1.52375,0.85553,0.51799,0.55989,0.28903,1.49032,2.99976,2.05867,0.000969611,0.000969611,0.000969611
14,272.911,1.31336,1.64574,1.46868,0.25628,0.59701,0.37348,0.21343,1.35576,5.32877,1.72402,0.00103342,0.00103342,0.00103342
15,290.542,1.33447,1.70589,1.54998,0.41665,0.85085,0.56257,0.32196,1.36647,4.04254,1.7136,0.00109554,0.00109554,0.00109554
16,309.005,1.27316,1.56965,1.47277,0.91636,0.80061,0.91241,0.40332,1.92505,2.92589,2.45705,0.00115595,0.00115595,0.00115595
17,329.736,1.26738,1.49444,1.46598,0.90469,0.82054,0.95228,0.51447,1.54526,2.65068,1.85145,0.00120265,0.00120265,0.00120265
18,348.241,1.2918,1.49502,1.45294,0.71729,0.79281,0.80269,0.48877,1.43291,2.43863,1.76406,0.0011885,0.0011885,0.0011885
19,366.171,1.26551,1.44317,1.4506,0.78024,0.8388,0.7784,0.43328,1.50692,2.45509,1.81626,0.00117435,0.00117435,0.00117435
20,385.034,1.33994,1.53517,1.50292,0.70414,0.69091,0.58441,0.35497,1.42514,2.73451,1.78705,0.00116021,0.00116021,0.00116021
21,403.052,1.29474,1.43789,1.43598,0.72413,0.71948,0.55798,0.34432,1.34785,3.13922,1.6995,0.00114606,0.00114606,0.00114606
22,420.8,1.18306,1.3136,1.40835,0.86806,0.71879,0.82705,0.53429,1.32496,2.44014,1.70763,0.00113191,0.00113191,0.00113191
23,439.069,1.21898,1.26583,1.41511,0.88933,0.83646,0.8963,0.58309,1.20286,2.0813,1.56798,0.00111776,0.00111776,0.00111776
24,457.096,1.31568,1.42888,1.49011,0.88684,0.87273,0.92607,0.5877,1.3071,2.02184,1.58142,0.00110362,0.00110362,0.00110362
