epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4188,2.38625,3.75704,2.72428,0.00331,0.96667,0.18281,0.05102,1.42383,4.14722,2.3201,0.00010003,0.00010003,0.00010003
2,81.3222,1.85572,3.4034,2.13167,0.00348,1,0.35634,0.17224,1.37441,3.90669,2.04042,0.000212228,0.000212228,0.000212228
3,115.58,1.56821,2.90737,1.78519,0.00336,1,0.44247,0.25596,0.88812,3.65061,1.53958,0.000322162,0.000322162,0.000322162
4,147.651,1.41659,2.65088,1.69616,0.00338,1,0.5638,0.31817,0.99658,3.61461,1.56223,0.000429833,0.000429833,0.000429833
5,179.804,1.41403,2.27557,1.62361,0.00346,1,0.51501,0.28471,1.03221,3.30128,1.56686,0.000535241,0.000535241,0.000535241
6,211.605,1.33063,2.1135,1.59948,0.59693,0.28264,0.49226,0.28031,1.24972,3.24244,1.78452,0.000638384,0.000638384,0.000638384
7,243.343,1.48103,2.15108,1.68095,0.66652,0.53735,0.65088,0.42362,0.98877,2.92933,1.53453,0.000739265,0.000739265,0.000739265
8,274.635,1.31304,2.02706,1.57099,0.60918,0.79673,0.6529,0.28591,1.66845,2.98948,2.48282,0.000837881,0.000837881,0.000837881
9,305.391,1.43262,2.04631,1.70061,0.44718,0.57167,0.50592,0.24538,1.62474,2.87962,2.40427,0.000934234,0.000934234,0.000934234
10,339.912,1.44188,2.00347,1.6689,0.51015,0.50837,0.70128,0.35606,1.34694,2.80367,1.92811,0.00102832,0.00102832,0.00102832
11,372.53,1.41391,1.87225,1.66444,0.61902,0.76523,0.66029,0.34076,1.48678,4.54573,2.11895,0.00112015,0.00112015,0.00112015
12,405.645,1.36031,1.9762,1.56422,0.69399,0.80467,0.78586,0.45886,1.33136,2.56516,1.96292,0.00120971,0.00120971,0.00120971
13,437.909,1.32669,1.94353,1.64408,0.75861,0.78953,0.9069,0.54916,1.16763,2.31255,1.78112,0.00125923,0.00125923,0.00125923
14,470.213,1.33827,1.63105,1.53199,0.84708,0.87323,0.96405,0.60927,0.99363,2.52769,1.58679,0.00124509,0.00124509,0.00124509
15,500.829,1.29401,1.71144,1.57356,0.72689,0.67816,0.7217,0.31391,1.4897,4.26144,2.36271,0.00123094,0.00123094,0.00123094
16,531.99,1.49984,1.804,1.72491,0.42466,0.58319,0.50552,0.30005,1.33778,3.96807,1.99039,0.00121679,0.00121679,0.00121679
17,563.144,1.3364,1.66126,1.60549,0.58643,0.6055,0.669,0.38136,1.46576,2.93087,2.13748,0.00120265,0.00120265,0.00120265
18,594.969,1.39286,1.68724,1.66857,0.83288,0.44046,0.60668,0.33096,1.55882,4.6367,1.95321,0.0011885,0.0011885,0.0011885
19,627.348,1.35173,1.62441,1.54402,0.95157,0.88207,0.93994,0.59016,1.06306,2.34001,1.627,0.00117435,0.00117435,0.00117435
20,659.5,1.37505,1.60499,1.60411,0.78444,0.75909,0.81212,0.3456,1.82087,2.01421,2.63687,0.00116021,0.00116021,0.00116021
21,691.985,1.46571,1.63493,1.63489,0.8281,0.78327,0.80294,0.48537,1.40963,1.70152,1.95939,0.00114606,0.00114606,0.00114606
22,724.859,1.3268,1.40161,1.5416,0.71589,0.89854,0.8711,0.58691,1.05562,1.58554,1.55465,0.00113191,0.00113191,0.00113191
23,759.57,1.45625,1.54437,1.69074,0.8791,0.85051,0.89281,0.54853,1.25961,1.70153,1.69858,0.00111776,0.00111776,0.00111776
24,793.137,1.37856,1.42533,1.58966,0.85738,0.84989,0.82738,0.52947,1.40185,1.94633,1.8872,0.00110362,0.00110362,0.00110362
25,827.469,1.33363,1.43869,1.57736,0.8591,0.86888,0.8293,0.52112,1.32414,1.54391,1.77615,0.00108947,0.00108947,0.00108947
26,864.294,1.23161,1.38272,1.49127,0.85006,0.86298,0.91748,0.56171,1.44347,1.54835,2.03885,0.00107532,0.00107532,0.00107532
27,901.003,1.30629,1.36599,1.52614,0.87689,0.94756,0.96972,0.57375,1.62285,1.48682,2.37833,0.00106118,0.00106118,0.00106118
28,935.339,1.32966,1.42704,1.58305,0.8994,0.91111,0.9059,0.53802,1.53679,1.39056,2.33643,0.00104703,0.00104703,0.00104703
29,969.064,1.32177,1.3504,1.57901,0.89592,0.83651,0.91646,0.58741,1.42993,1.3021,1.98622,0.00103288,0.00103288,0.00103288
30,1004.57,1.30614,1.36143,1.5454,0.78845,0.94192,0.90151,0.5787,1.5428,1.48491,2.1282,0.00101873,0.00101873,0.00101873
31,1039.67,1.25854,1.28412,1.50971,0.95633,0.91759,0.96842,0.53235,1.55057,1.19475,2.12619,0.00100459,0.00100459,0.00100459
32,1077.53,1.31188,1.3036,1.51552,0.7656,0.82402,0.95683,0.64116,1.14286,1.08944,1.61752,0.00099044,0.00099044,0.00099044
33,1107.85,1.28423,1.27603,1.51453,0.81615,0.90699,0.98313,0.60499,1.31591,1.11586,1.78796,0.000976293,0.000976293,0.000976293
